UPI_Banks,Volume_Mn_By_Customers,Volume_Mn,Value_Cr,Month,Year,Total_Value_Cr,Total_Volume_Mn
Airtel Payments Bank Apps,9.04,15.12,5732.09,12,2021.0,7980.58,24.16
Airtel Payments Bank Apps,8.41,15.9,5554.63,11,2021.0,7478.58,24.31
Airtel Payments Bank Apps,7.6,14.31,4746.79,10,2021.0,6238.13,21.91
Airtel Payments Bank Apps,6.91,11.52,3759.12,9,2021.0,5280.04,18.43
Airtel Payments Bank Apps,6.14,9.31,2941.88,8,2021.0,4338.530000000001,15.45
Airtel Payments Bank Apps,5.79,7.36,2342.76,7,2021.0,3876.97,13.15
Airtel Payments Bank Apps,5.06,6.69,2821.94,6,2021.0,4145.2,11.75
Airtel Payments Bank Apps,4.06,4.06,429.12,5,2021.0,858.24,8.12
Airtel Payments Bank Apps,3.53,14.7,11172.43,4,2021.0,11536.09,18.23
Airtel Payments Bank Apps,3.79,3.79,381.74,3,2021.0,763.48,7.58
Airtel Payments Bank Apps,3.33,3.33,348.7,2,2021.0,697.4,6.66
Airtel Payments Bank Apps,3.71,3.71,355.77,1,2021.0,711.54,7.42
Allahabad Bank App,0.02,0.02,7.43,12,2021.0,14.86,0.04
Allahabad Bank App,0.02,0.02,6.28,11,2021.0,12.56,0.04
Allahabad Bank App,0.02,0.02,6.35,10,2021.0,12.7,0.04
Allahabad Bank App,0.02,0.02,5.34,9,2021.0,10.68,0.04
Allahabad Bank App,0.01,0.01,4.44,8,2021.0,8.88,0.02
Allahabad Bank App,0.01,0.01,2.03,7,2021.0,4.06,0.02
Allahabad Bank App,0.01,0.01,4.43,5,2021.0,8.86,0.02
Allahabad Bank App,0.02,0.02,5.21,4,2021.0,10.42,0.04
Allahabad Bank App,0.05,0.05,13.51,3,2021.0,27.02,0.1
Allahabad Bank App,0.05,0.05,12.23,2,2021.0,24.46,0.1
Allahabad Bank App,0.09,0.09,21.14,1,2021.0,42.28,0.18
Amazon Pay,76.18,76.18,6641.62,12,2021.0,13283.24,152.36
Amazon Pay,71.04,71.04,6041.96,11,2021.0,12083.92,142.08
Amazon Pay,68.82,68.82,6286.6,10,2021.0,12573.2,137.64
Amazon Pay,62.9,62.9,5267.79,9,2021.0,10535.58,125.8
Amazon Pay,60.67,60.67,5297.16,8,2021.0,10594.32,121.34
Amazon Pay,62.83,62.83,5223.57,7,2021.0,10447.14,125.66
Amazon Pay,51.34,51.34,4814.74,6,2021.0,9629.48,102.68
Amazon Pay,58.35,58.35,4782.59,5,2021.0,9565.18,116.7
Amazon Pay,49.12,49.12,4272.47,4,2021.0,8544.94,98.24
Amazon Pay,52.38,52.38,4457.47,3,2021.0,8914.94,104.76
Amazon Pay,44.22,44.22,3831.99,2,2021.0,7663.98,88.44
Amazon Pay,46.3,46.3,4044.38,1,2021.0,8088.76,92.6
Andhra Bank App,0.02,0.02,13.32,1,2021.0,26.64,0.04
AU Small Finance Bank App,0.21,0.21,76.22,12,2021.0,152.44,0.42
AU Small Finance Bank App,0.17,0.17,67.04,11,2021.0,134.08,0.34
AU Small Finance Bank App,0.16,0.16,62.15,10,2021.0,124.3,0.32
AU Small Finance Bank App,0.13,0.13,46.49,9,2021.0,92.98,0.26
AU Small Finance Bank App,0.1,0.1,38.53,8,2021.0,77.06,0.2
AU Small Finance Bank App,0.08,0.08,33.12,7,2021.0,66.24,0.16
AU Small Finance Bank App,0.05,0.05,25.43,6,2021.0,50.86,0.1
AU Small Finance Bank App,0.04,0.04,20.29,5,2021.0,40.58,0.08
AU Small Finance Bank App,0.04,0.04,20.23,4,2021.0,40.46,0.08
AU Small Finance Bank App,0.04,0.04,21.33,3,2021.0,42.66,0.08
AU Small Finance Bank App,0.03,0.03,15.48,2,2021.0,30.96,0.06
AU Small Finance Bank App,0.02,0.02,12.28,1,2021.0,24.56,0.04
Axis Bank Apps,6.63,59.85,957.37,12,2021.0,1873.95,66.48
Axis Bank Apps,6.71,70.83,920.76,11,2021.0,1795.85,77.53999999999999
Axis Bank Apps,8.4,69.28,1005.7,10,2021.0,1968.84,77.68
Axis Bank Apps,7.37,59.13,832.73,9,2021.0,1621.24,66.5
Axis Bank Apps,10.11,87.49,959.73,8,2021.0,1850.23,97.6
Axis Bank Apps,10.08,74.13,941.35,7,2021.0,1832.61,84.21
Axis Bank Apps,9.77,61.92,857.05,6,2021.0,1679.64,71.69
Axis Bank Apps,10.27,68.9,806.31,5,2021.0,1575.38,79.17
Axis Bank Apps,9.72,80.52,747.46,4,2021.0,1445.33,90.24
Axis Bank Apps,8.56,72.87,748.91,3,2021.0,1453.51,81.43
Axis Bank Apps,6.72,64.74,648.47,2,2021.0,1252.5500000000002,71.46
Axis Bank Apps,5.23,71.96,618.44,1,2021.0,1179.14,77.19
Bajaj Finserv,0.13,0.13,7.08,12,2021.0,14.16,0.26
Bajaj Finserv,0.06,0.06,4.1,11,2021.0,8.2,0.12
Bajaj Finserv,0.06,0.06,4.3,10,2021.0,8.6,0.12
Bajaj Finserv,0.04,0.04,3.03,9,2021.0,6.06,0.08
Bajaj Finserv,0.04,0.04,2.85,8,2021.0,5.7,0.08
Bajaj Finserv,0.02,0.02,1.55,7,2021.0,3.1,0.04
Bajaj Finserv,0.01,0.01,1.05,6,2021.0,2.1,0.02
Bajaj Finserv,0.01,0.01,0.77,5,2021.0,1.54,0.02
Bajaj Finserv,0.01,0.01,0.96,4,2021.0,1.92,0.02
Bajaj Finserv,0.01,0.01,1.02,3,2021.0,2.04,0.02
Bajaj Finserv,0.01,0.01,1.03,2,2021.0,2.06,0.02
Bajaj Finserv,0.01,0.01,0.99,1,2021.0,1.98,0.02
Bank of Baroda Apps,0.75,0.75,333.91,12,2021.0,667.82,1.5
Bank of Baroda Apps,0.75,0.75,329.77,11,2021.0,659.53,1.5
Bank of Baroda Apps,0.8,0.8,344.85,10,2021.0,689.7,1.6
Bank of Baroda Apps,0.73,0.73,293.05,9,2021.0,586.1,1.46
Bank of Baroda Apps,0.75,0.75,302.06,8,2021.0,604.11,1.5
Bank of Baroda Apps,0.67,0.67,284.99,7,2021.0,569.97,1.34
Bank of Baroda Apps,0.6,0.6,265.38,6,2021.0,530.76,1.2
Bank of Baroda Apps,0.54,0.54,230.89,5,2021.0,461.78,1.08
Bank of Baroda Apps,0.56,0.56,238.5,4,2021.0,477.0,1.12
Bank of Baroda Apps,0.78,0.78,294.28,3,2021.0,588.56,1.56
Bank of Baroda Apps,0.66,0.66,256.49,2,2021.0,512.98,1.32
Bank of Baroda Apps,0.75,0.75,293.25,1,2021.0,586.5,1.5
Bank of India App,0.04,0.04,17.26,12,2021.0,34.52,0.08
Bank of India App,0.03,0.03,13.54,11,2021.0,27.08,0.06
Bank of India App,0.03,0.03,12.88,10,2021.0,25.76,0.06
Bank of India App,0.03,0.03,12.45,9,2021.0,24.9,0.06
Bank of India App,0.03,0.03,10.31,8,2021.0,20.62,0.06
Bank of India App,0.03,0.03,9.8,7,2021.0,19.6,0.06
Bank of India App,0.02,0.02,8.25,6,2021.0,16.5,0.04
Bank of India App,0.01,0.01,5.23,5,2021.0,10.46,0.02
Bank of India App,0.01,0.01,2.11,4,2021.0,4.22,0.02
Bank of Maharashtra App,0.05,0.05,11.52,12,2021.0,23.04,0.1
Bank of Maharashtra App,0.04,0.04,10.84,11,2021.0,21.68,0.08
Bank of Maharashtra App,0.04,0.04,10.5,10,2021.0,21.0,0.08
Bank of Maharashtra App,0.04,0.04,7.8,9,2021.0,15.6,0.08
Bank of Maharashtra App,0.04,0.04,7.76,8,2021.0,15.52,0.08
Bank of Maharashtra App,0.03,0.03,7.27,7,2021.0,14.54,0.06
Bank of Maharashtra App,0.03,0.03,6.82,6,2021.0,13.64,0.06
Bank of Maharashtra App,0.02,0.02,6.18,5,2021.0,12.36,0.04
Bank of Maharashtra App,0.02,0.02,6.05,4,2021.0,12.1,0.04
Bank of Maharashtra App,0.03,0.03,6.73,3,2021.0,13.46,0.06
Bank of Maharashtra App,0.02,0.02,5.73,2,2021.0,11.46,0.04
Bank of Maharashtra App,0.02,0.02,6.37,1,2021.0,12.74,0.04
BHIM,27.12,27.12,8831.67,12,2021.0,17663.34,54.24
BHIM,25.23,25.23,8237.22,11,2021.0,16474.44,50.46
BHIM,27.27,27.27,8513.82,10,2021.0,17027.64,54.54
BHIM,25.36,25.36,7538.58,9,2021.0,15077.16,50.72
BHIM,26.33,26.33,8063.93,8,2021.0,16127.86,52.66
BHIM,23.76,23.76,7442.86,7,2021.0,14885.72,47.52
BHIM,22.84,22.84,7319.77,6,2021.0,14639.54,45.68
BHIM,21.02,21.02,6776.2,5,2021.0,13552.4,42.04
BHIM,22.26,22.26,6886.78,4,2021.0,13773.56,44.52
BHIM,24.42,24.42,7653.21,3,2021.0,15306.42,48.84
BHIM,20.44,20.44,6379.91,2,2021.0,12759.82,40.88
BHIM,23.38,23.38,7462.94,1,2021.0,14925.88,46.76
Canara Bank App,0.25,0.25,90.72,12,2021.0,181.44,0.5
Canara Bank App,0.21,0.21,78.32,11,2021.0,156.64,0.42
Canara Bank App,0.21,0.21,77.06,10,2021.0,154.12,0.42
Canara Bank App,0.16,0.16,51.88,9,2021.0,103.76,0.32
Canara Bank App,0.14,0.14,56.23,8,2021.0,112.46,0.28
Canara Bank App,0.11,0.11,55.83,7,2021.0,111.66,0.22
Canara Bank App,0.1,0.1,52.64,6,2021.0,105.28,0.2
Canara Bank App,0.09,0.09,45.92,5,2021.0,91.84,0.18
Canara Bank App,0.09,0.09,43.87,4,2021.0,87.74,0.18
Canara Bank App,0.1,0.1,47.87,3,2021.0,95.74,0.2
Canara Bank App,0.08,0.08,37.39,2,2021.0,74.78,0.16
Canara Bank App,0.09,0.09,40.52,1,2021.0,81.04,0.18
Central Bank of India App,0.13,0.13,46.47,12,2021.0,92.94,0.26
